
﻿ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Meta: woodmart_sguide_select","Meta: woodmart_total_stock_quantity","Meta: _product_360_image_gallery","Meta: rs_page_bg_color","Meta: _woodmart_whb_header","Meta: _woodmart_main_layout","Meta: _woodmart_sidebar_width","Meta: _woodmart_custom_sidebar","Meta: _woodmart_product_design","Meta: _woodmart_single_product_style","Meta: _woodmart_thums_position","Meta: _woodmart_product-background","Meta: _woodmart_extra_content","Meta: _woodmart_extra_position","Meta: _woodmart_product_custom_tab_title","Meta: _woodmart_product_custom_tab_content","Meta: _woodmart_new_label_date","Meta: _woodmart_swatches_attribute","Meta: _woodmart_product_video","Meta: _woodmart_product_hashtag","Meta: _wpb_vc_js_status","Meta: classic-editor-remember","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: _yoast_wpseo_opengraph-title","Meta: _yoast_wpseo_opengraph-description","Meta: _yoast_wpseo_opengraph-image","Meta: _yoast_wpseo_opengraph-image-id","Meta: _last_editor_used_jetpack","Meta: fb_product_group_id","Meta: _wc_facebook_commerce_enabled","Meta: _wp_page_template","Meta: _vi_woo_product_variation_swatches_product_attribute","Meta: rwpp_sortorder_98","Meta: wd_additional_variation_images_data","Meta: fb_product_item_id","Meta: _wc_facebook_sync_enabled","Meta: fb_visibility","Meta: fb_product_description","Meta: _wc_facebook_product_image_source","Meta: fb_product_image","Meta: fb_product_price","Meta: _yoast_wpseo_primary_product_cat","Meta: rwpp_sortorder_128","Attribute 4 default","Meta: rwpp_sortorder_131"
8395,variable,dsf,"Defatted Soya Flour",1,0,visible,"Made from 100% non-GMO soyabean seeds, sourced from the best farmers across India. Our defatted soya flour offers 52% protein, 1.5% fat, 15% fiber.\n\nIt contains all essential amino acids in right quantities to trigger muscle protein synthesis.","Made from 100% non-GMO soyabean seeds, sourced from the best farmers across India. Our defatted soya flour offers 52% protein, 1.5% fat, 15% fiber. It contains all essential Amino Acids in right quantities to trigger muscle protein synthesis and is absolutely 100% vegan and vegetarian friendly.\n\nAll our products are tested in FSSAI &amp; NABL approved labs every 12 months which ensures no variation, no adulteration and maintains the nutrient profile.\n\n<strong>Storage &amp; Expiry</strong>\nStore in a cool dry place. Consume the flour within 1 month after opening the pouch or transfer the contents to an air tight jar immediately for a longer shelf life. Dry roast the flour to increase the shelf life further.\n\nThe product has an expiry date of 9 months from the month of packing.",,,taxable,,1,36,50,0,0,0.8,25,15,8,1,,,,"Flour &amp; Meal","Defatted Soya Flour, Soya, Soya Atta, Soya Chunk Atta",,"https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Front20220504.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Nutritional-Highlights2.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Nutritional-Label-Back20220504.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Lab-Test-Report-21Jul-1.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Quality1.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Measurement1.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Convenience1.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Dishes1.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Roti-Recipe1.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Cooler-Recipe1.jpg",,,,,,,,,0,"Select Size","1.8 kg, 2.8 kg, 800 g",1,1,"800 g","Dietery Preference","Dairy Free, Gluten Free, Nut Free, Vegan, Vegetarian",1,1,Meal,"Main Course",1,1,"Target Diet","High Protein, Low Carb",1,1,disable,,,,none,default,default,none,inherit,inherit,inherit,,,after,"Nutrition & Ingredients","<strong>Ingredients:</strong>
Defatted Soya Flour

<strong>Allergens:</strong>
Contains Soya

[table id=1 /]

<strong>Disclaimer:</strong>
The above nutritional values are approximate average values and are subject to batch variation of 5-10 percent which are acceptable as per FSSAI guidelines.",,,,,false,classic-editor,60,,"Defatted Soya Flour from 100% non-GMO soyabean seeds","Our defatted soya flour is sourced from the best farmers across India and offers 52% protein, 1.5% fat, 15% fiber. It contains all essential Amino Acids in right quantities to trigger muscle protein synthesis and is absolutely 100% vegan and vegetarian friendly. All our products are tested in FSSAI & NABL approved labs every 6 months which ensures no variation, no adulteration and maintains the nutrient profile.",https://qontyt.com//wp-content/uploads/2021/09/QontyT-Social-Sharing-Banner-DSF.jpg,8485,classic-editor,6372336986169847,no,default,"{""attribute_type"":{""pa_available-in"":""radio"",""pa_dietery-preference"":""0"",""pa_meal"":""0"",""pa_target-diet"":""0""},""attribute_profile"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_meal"":""0"",""pa_target-diet"":""0""},""attribute_color_separator"":{""pa_available-in"":{""70"":""1"",""71"":""1"",""80"":""1""},""pa_dietery-preference"":{""101"":""1"",""103"":""1"",""102"":""1"",""100"":""1"",""99"":""1""},""pa_meal"":{""111"":""1""},""pa_target-diet"":{""105"":""1"",""104"":""1""}},""attribute_colors"":{""pa_available-in"":{""70"":[""""],""71"":[""""],""80"":[""""]},""pa_dietery-preference"":{""101"":[""""],""103"":[""""],""102"":[""""],""100"":[""""],""99"":[""""]},""pa_meal"":{""111"":[""""]},""pa_target-diet"":{""105"":[""""],""104"":[""""]}},""attribute_img_ids"":{""pa_available-in"":{""70"":"""",""71"":"""",""80"":""""},""pa_dietery-preference"":{""101"":"""",""103"":"""",""102"":"""",""100"":"""",""99"":""""},""pa_meal"":{""111"":""""},""pa_target-diet"":{""105"":"""",""104"":""""}},""vi_attribute_loop_enable"":{""pa_available-in"":""1"",""pa_dietery-preference"":""1"",""pa_meal"":""1"",""pa_target-diet"":""1""},""attribute_display_type"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_meal"":""0"",""pa_target-diet"":""0""}}",14,,,,,,,,,,,,
8401,variation,dsf-0800,"Defatted Soya Flour - 800 g",1,0,visible,,,,,taxable,parent,1,286,5,0,0,,,,,0,,279,375,,,,https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-Front20220504.jpg,,,dsf,,,,,,1,"Select Size","800 g",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8463,8912,8461,8466,8462,8458,8460,8459,8467",4500780160039840,yes,yes,,product,,,,,,
8402,variation,dsf-1800,"Defatted Soya Flour - 1.8 kg",1,0,visible,,,,,taxable,parent,1,99,5,0,0,1.8,29,21,8,0,,569,835,,,,https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-1.8-kg-Front1.jpg,,,dsf,,,,,,2,"Select Size","1.8 kg",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8463,8465,8461,8466,8462,8458,8460,8467,8459",4562008390513719,yes,yes,,product,,,,,,
8430,variable,LCF,"Low Carb Flour",1,0,visible,"Made from 100% non-GMO soyabean seeds, wheat and wheat protein, sourced from the best farmers across India and abroad. Our low carb flour offers 48% protein, 1% fat, 12% fiber.\n\nIt is excellent for diabetic people and people following low carbs diets as it gives only 5 grams carbs and 10 grams protein per roti.","Made from 100% non-GMO soyabean and wheat &amp; wheat protein, sourced from the best farmers across India. Our low carb flour offers 48% protein, 1% fat, 12% fiber i.e. only 5 grams net carbs per roti.\n\nIt is highly diabetic friendly and helps in control blood sugar and retaining and building muscle mass. It contains all essential Amino Acids in right quantities to trigger muscle protein synthesis and is absolutely 100% vegan and vegetarian friendly.\n\nAll our products are tested in FSSAI &amp; NABL approved labs every 6 months which ensures no variation, no adulteration and maintains the nutrient profile.\n\n<strong>Storage &amp; Expiry</strong>\nStore in a cool dry place. Consume the flour within 1 month after opening the pouch or transfer the contents to an air tight jar immediately for a longer shelf life. Dry roast the flour to increase the shelf life further.\n\nThe product has an expiry date of 6 months from the month of packing.",,,taxable,,1,40,50,0,0,0.8,25,15,8,1,,,,"Flour &amp; Meal","Defatted Soya Flour, Protein Roti Mix, Soya, Soya Atta, Soya Chunk Atta",,"https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Front20220504.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Nutrition-Highlights.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Nutrition20220504.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Lab-Test-Report1-16Sep.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Lab-Test-Report2-16Sep.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Quality.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Measurement.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Convenience.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Dishes.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Roti-Recipe.jpg, https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Kulcha-Recipe.jpg",,,,,,,,,1,"Select Size","1.8 kg, 800 g",1,1,"800 g","Dietery Preference","Dairy Free, Nut Free, Vegan, Vegetarian",1,1,"Target Diet","High Protein, Low Carb",1,1,Meal,"Main Course",1,1,disable,,,,none,default,default,none,inherit,inherit,inherit,,,after,"Nutrition & Ingredients","<strong>Ingredients:</strong>
Defatted Soya Flour, Wheat &amp; Wheat Protein

<strong>Allergens:</strong>
Contains Soya, Gluten

[table id=52 /]

<strong>Disclaimer:</strong>
The above nutritional values are approximate average values and are subject to batch variation of 5-10 percent which are acceptable as per FSSAI guidelines.",,,,,false,classic-editor,90,1,,,https://qontyt.com//wp-content/uploads/2021/09/Website-Pages-Social-Media-Optimization.jpg,8545,classic-editor,4101801449923675,no,default,"{""attribute_type"":{""pa_available-in"":""radio"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""},""attribute_profile"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""},""attribute_color_separator"":{""pa_available-in"":{""70"":""1"",""71"":""1""},""pa_dietery-preference"":{""101"":""1"",""102"":""1"",""100"":""1"",""99"":""1""},""pa_target-diet"":{""105"":""1"",""104"":""1""},""pa_meal"":{""111"":""1""}},""attribute_colors"":{""pa_available-in"":{""70"":[""""],""71"":[""""]},""pa_dietery-preference"":{""101"":[""""],""102"":[""""],""100"":[""""],""99"":[""""]},""pa_target-diet"":{""105"":[""""],""104"":[""""]},""pa_meal"":{""111"":[""""]}},""attribute_img_ids"":{""pa_available-in"":{""70"":"""",""71"":""""},""pa_dietery-preference"":{""101"":"""",""102"":"""",""100"":"""",""99"":""""},""pa_target-diet"":{""105"":"""",""104"":""""},""pa_meal"":{""111"":""""}},""vi_attribute_loop_enable"":{""pa_available-in"":""1"",""pa_dietery-preference"":""1"",""pa_target-diet"":""1"",""pa_meal"":""1""},""attribute_display_type"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""}}",8,,,,,,,,,,,,
8431,variation,lcf-0800,"Low Carb Flour - 800 g",1,0,visible,,,,,taxable,parent,1,42,5,0,0,,,,,0,,309,599,,,,https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-Front20220504.jpg,,,LCF,,,,,,1,"Select Size","800 g",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4040321029402625,yes,yes,,product,,,,,,
8432,variation,lcf-1800,"Low Carb Flour - 1.8 kg",1,0,visible,,,,,taxable,parent,1,5,5,0,0,1.8,29,21,8,0,,689,1329,,,,https://qontyt.com/wp-content/uploads/2021/09/QontyT-Low-Carb-Flour-1800g.jpg,,,LCF,,,,,,2,"Select Size","1.8 kg",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6745262125494171,yes,yes,,product,,,,,,
8666,variation,dsf-2800,"Defatted Soya Flour - 2.8 kg",1,0,visible,,,,,taxable,parent,1,63,,0,0,2.8,42,17,11,0,,769,1285,,,,https://qontyt.com/wp-content/uploads/2021/09/QontyT-Defatted-Soya-Flour-2.8-kg-Front.jpg,,,dsf,,,,,,3,"Select Size","2.8 kg",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8463,8464,8461,8466,8474,8471,8472,8456,8459,",4975136332518534,yes,yes,,product,,,,,,
8857,variable,DSN,"Defatted Soya Noodle",1,0,visible,"Made from 100% non-GMO soyabean seeds, sourced from the best farmers across India. Our defatted soya noodle offers 48% protein, 1% fat, 10% fiber. It is ultra low in fat, low in carbs and diabetic friendly.\n\nIt contains all essential Amino Acids in right quantities to trigger muscle protein synthesis and is absolutely 100% vegan and vegetarian friendly.","Made from 100% non-GMO soyabean seeds, sourced from the best farmers across India. Our defatted soya noodle offers 48% protein, 1% fat, 10% fiber. It is ultra low in fat, low in carbs and diabetic friendly. It contains all essential Amino Acids in right quantities to trigger muscle protein synthesis and is absolutely 100% vegan and vegetarian friendly.\n\nAll our products are tested in FSSAI &amp; NABL approved labs every 12 months which ensures no variation, no adulteration and maintains the nutrient profile.\n\n<strong>Storage &amp; Expiry</strong>\nStore in a cool dry place. Consume the flour within 1 month after opening the pouch or transfer the contents to an air tight jar immediately for a longer shelf life. Dry roast the flour to increase the shelf life further.\n\nThe product has an expiry date of 9 months from the month of packing.",,,taxable,,1,8,5,0,0,0.22,19,16,6,1,,,,"Noodle\, Pasta &amp; Rice","Low Carb Noodle, Noodle, Soya, Soya Noodle",,"https://qontyt.com/wp-content/uploads/2022/03/2.jpg, https://qontyt.com/wp-content/uploads/2022/03/3.jpg, https://qontyt.com/wp-content/uploads/2022/03/4.jpg, https://qontyt.com/wp-content/uploads/2022/03/5.jpg, https://qontyt.com/wp-content/uploads/2022/03/6.jpg, https://qontyt.com/wp-content/uploads/2022/03/7.jpg, https://qontyt.com/wp-content/uploads/2022/03/8.jpg",,,,,,,,,2,"Select Size","150 g",1,1,"150 g","Dietery Preference","Dairy Free, Nut Free, Vegan, Vegetarian",1,1,"Target Diet","High Protein, Low Carb",1,1,Meal,"Main Course, Snack",1,1,disable,,,,none,default,default,none,inherit,inherit,inherit,,,after,"Nutrition & Ingredients","<strong>Ingredients:</strong>
Defatted Soya Flour

<strong>Allergens:</strong>
Contains Soya

[table id=1 /]

<strong>Disclaimer:</strong>
The above nutritional values are approximate average values and are subject to batch variation of 5-10 percent which are acceptable as per FSSAI guidelines.",,,,,false,classic-editor,90,,"Defatted Soya Flour from 100% non-GMO soyabean seeds","Our defatted soya flour is sourced from the best farmers across India and offers 52% protein, 1.5% fat, 15% fiber. It contains all essential Amino Acids in right quantities to trigger muscle protein synthesis and is absolutely 100% vegan and vegetarian friendly. All our products are tested in FSSAI & NABL approved labs every 6 months which ensures no variation, no adulteration and maintains the nutrient profile.",https://qontyt.com//wp-content/uploads/2021/09/QontyT-Social-Sharing-Banner-DSF.jpg,8485,classic-editor,4604436516325277,no,default,"{""attribute_type"":{""pa_available-in"":""radio"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""},""attribute_profile"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""},""attribute_color_separator"":{""pa_available-in"":{""85"":""1""},""pa_dietery-preference"":{""101"":""1"",""102"":""1"",""100"":""1"",""99"":""1""},""pa_target-diet"":{""105"":""1"",""104"":""1""},""pa_meal"":{""111"":""1"",""112"":""1""}},""attribute_colors"":{""pa_available-in"":{""85"":[""""]},""pa_dietery-preference"":{""101"":[""""],""102"":[""""],""100"":[""""],""99"":[""""]},""pa_target-diet"":{""105"":[""""],""104"":[""""]},""pa_meal"":{""111"":[""""],""112"":[""""]}},""attribute_img_ids"":{""pa_available-in"":{""85"":""""},""pa_dietery-preference"":{""101"":"""",""102"":"""",""100"":"""",""99"":""""},""pa_target-diet"":{""105"":"""",""104"":""""},""pa_meal"":{""111"":"""",""112"":""""}},""vi_attribute_loop_enable"":{""pa_available-in"":""1"",""pa_dietery-preference"":""1"",""pa_target-diet"":""1"",""pa_meal"":""1""},""attribute_display_type"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""}}",,,5115406161909373,yes,yes,,product,,,87,,,
8870,variable,DCF,"Defatted Coconut Flour",1,0,visible,"Made from 100% organic coconuts, sourced from the best farmers across India. Our defatted coconut flour offers 17% protein, 15% fat, 10% net carbs. It is absolutely 100% vegan, vegetarian and keto friendly.\n\nAll our products are tested in FSSAI &amp; NABL approved labs every 12 months which ensures no variation, no adulteration and maintains the nutrient profile.","Made from 100% organic coconuts, sourced from the best farmers across India. Our defatted coconut flour offers 17% protein, 15% fat, 10% net carbs. It is absolutely 100% vegan, vegetarian and keto friendly.\n\nAll our products are tested in FSSAI &amp; NABL approved labs every 12 months which ensures no variation, no adulteration and maintains the nutrient profile.\n\n<strong>Storage &amp; Expiry</strong>\nStore in a cool dry place. Consume the flour within 1 month after opening the pouch or transfer the contents to an air tight jar immediately for a longer shelf life. Dry roast the flour to increase the shelf life further.\n\nThe product has an expiry date of 9 months from the month of packing.",,,taxable,,1,36,50,0,0,0.8,25,15,8,1,,,,"Flour &amp; Meal","Defatted Coconut Flour, Keto Flour, Low Carb Atta, Low Carb Flour",,"https://qontyt.com/wp-content/uploads/2022/03/Qonty-Defatted-Coconut-Flour-Front20220504.jpg, https://qontyt.com/wp-content/uploads/2022/03/4-1.jpg, https://qontyt.com/wp-content/uploads/2022/03/Qonty-Defatted-Coconut-Flour-Nutrition20220504.jpg, https://qontyt.com/wp-content/uploads/2022/03/6-1.jpg, https://qontyt.com/wp-content/uploads/2022/03/7-1.jpg, https://qontyt.com/wp-content/uploads/2022/03/8-1.jpg, https://qontyt.com/wp-content/uploads/2022/03/9.jpg, https://qontyt.com/wp-content/uploads/2022/03/10.jpg",,,,,,,,,7,"Select Size","350 g, 800 g",1,1,"800 g","Dietery Preference","Dairy Free, Gluten Free, Vegan, Vegetarian",1,1,"Target Diet","Low Carb",1,1,Meal,"Main Course",1,1,disable,,,,none,default,default,none,inherit,inherit,inherit,,,after,"Nutrition & Ingredients","<strong>Ingredients:</strong>
Defatted Soya Flour

<strong>Allergens:</strong>
Contains Soya

[table id=1 /]

<strong>Disclaimer:</strong>
The above nutritional values are approximate average values and are subject to batch variation of 5-10 percent which are acceptable as per FSSAI guidelines.",,,,,false,classic-editor,90,,"Defatted Soya Flour from 100% non-GMO soyabean seeds","Our defatted soya flour is sourced from the best farmers across India and offers 52% protein, 1.5% fat, 15% fiber. It contains all essential Amino Acids in right quantities to trigger muscle protein synthesis and is absolutely 100% vegan and vegetarian friendly. All our products are tested in FSSAI & NABL approved labs every 6 months which ensures no variation, no adulteration and maintains the nutrient profile.",https://qontyt.com//wp-content/uploads/2021/09/QontyT-Social-Sharing-Banner-DSF.jpg,8485,classic-editor,7123268567748591,no,default,"{""attribute_type"":{""pa_available-in"":""radio"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""},""attribute_profile"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""},""attribute_color_separator"":{""pa_available-in"":{""96"":""1"",""70"":""1""},""pa_dietery-preference"":{""101"":""1"",""103"":""1"",""100"":""1"",""99"":""1""},""pa_target-diet"":{""104"":""1""},""pa_meal"":{""111"":""1""}},""attribute_colors"":{""pa_available-in"":{""96"":[""""],""70"":[""""]},""pa_dietery-preference"":{""101"":[""""],""103"":[""""],""100"":[""""],""99"":[""""]},""pa_target-diet"":{""104"":[""""]},""pa_meal"":{""111"":[""""]}},""attribute_img_ids"":{""pa_available-in"":{""96"":"""",""70"":""""},""pa_dietery-preference"":{""101"":"""",""103"":"""",""100"":"""",""99"":""""},""pa_target-diet"":{""104"":""""},""pa_meal"":{""111"":""""}},""vi_attribute_loop_enable"":{""pa_available-in"":""1"",""pa_dietery-preference"":""1"",""pa_target-diet"":""1"",""pa_meal"":""1""},""attribute_display_type"":{""pa_available-in"":""0"",""pa_dietery-preference"":""0"",""pa_target-diet"":""0"",""pa_meal"":""0""}}",1,,,,,,,,,98,,,
8894,variation,dcf-0350,"Defatted Coconut Flour - 350 g",1,0,visible,,,,,taxable,parent,1,,,0,0,0.35,21,15,6,0,,219,319,,,,https://qontyt.com/wp-content/uploads/2022/03/Qonty-Defatted-Coconut-Flour-Front20220504.jpg,,,DCF,,,,,,1,"Select Size","350 g",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8876,8897,8878,8879,8880,8881,8875,",,yes,yes,,product,,,,,,
